trade_id,asset,group,direction,entry_ts,exit_ts,entry_price,exit_price,best_tf,best_period,confidence,pvt_r,leverage,position_usd,hard_sl,exit_reason,bars_held,duration_hours,pnl_pct,pnl_usd,peak_r
40,BNB,A,SHORT,2025-11-03 10:00:00+00:00,2025-11-03 10:30:00+00:00,1023.54,1012.6302731259898,30m,22,0.9759875987755601,0.9603705941973498,5,3500.0000000000005,1054.0226785714285,ADAPTIVE_TRAIL_HIT,1,0.5,5.3294,182.33,0.9677
41,LINK,A,SHORT,2025-11-03 10:00:00+00:00,2025-11-03 10:30:00+00:00,16.026,15.783960674488458,30m,22,0.9381211544340687,0.9267216953149418,3,2100.0000000000005,16.697357142857143,ADAPTIVE_TRAIL_HIT,1,0.5,4.5309,92.63,0.9189
42,DOT,A,SHORT,2025-11-03 10:00:00+00:00,2025-11-03 10:30:00+00:00,2.763,2.721512775083925,30m,23,0.9096710152419853,0.9041955669163296,3,2100.0000000000005,2.880232142857143,ADAPTIVE_TRAIL_HIT,1,0.5,4.5046,92.08,0.8925
43,PEPE,C,SHORT,2025-11-03 10:00:00+00:00,2025-11-03 10:30:00+00:00,6.14e-06,6.04412568957567e-06,30m,24,0.9290529641014578,0.9214255490148378,3,1575.0000000000005,6.404642857142857e-06,ADAPTIVE_TRAIL_HIT,1,0.5,4.6844,70.94,0.9236
44,SUI,C,SHORT,2025-11-03 10:00:00+00:00,2025-11-03 10:30:00+00:00,2.1816,2.1545799122549028,30m,25,0.9192819747676357,0.9286969914197878,3,2100.0000000000005,2.2699535714285717,ADAPTIVE_TRAIL_HIT,1,0.5,3.7156,75.51,0.9156
45,DOGE,C,SHORT,2025-11-03 10:00:00+00:00,2025-11-03 10:30:00+00:00,0.17339,0.17068977958788917,30m,23,0.9335309070764709,0.9103193056712926,3,2100.0000000000005,0.18005714285714283,ADAPTIVE_TRAIL_HIT,1,0.5,4.6719,94.33,0.9103
46,OP,C,SHORT,2025-11-03 10:00:00+00:00,2025-11-03 10:30:00+00:00,0.3817,0.3741466080100543,30m,24,0.9215240325122734,0.9103799521523945,3,2100.0000000000005,0.4011767857142857,ADAPTIVE_TRAIL_HIT,1,0.5,5.9366,122.15,0.9112
47,SOL,A,SHORT,2025-11-03 11:00:00+00:00,2025-11-03 11:30:00+00:00,175.14,173.01964276420424,30m,24,0.9310628108162646,0.8861223507816608,3,2100.0000000000005,180.4955357142857,ADAPTIVE_TRAIL_HIT,1,0.5,3.632,73.75,0.8958
48,BNB,A,SHORT,2025-11-03 11:00:00+00:00,2025-11-03 11:30:00+00:00,1012.68,1008.7026160938553,30m,26,0.9755550818276808,0.9619982922888617,5,3500.0000000000005,1042.9630357142858,ADAPTIVE_TRAIL_HIT,1,0.5,1.9638,64.53,0.9739
49,LINK,A,SHORT,2025-11-03 11:00:00+00:00,2025-11-03 11:30:00+00:00,16.029,15.751847109658637,30m,26,0.9357725100088226,0.9248639948881062,3,2100.0000000000005,16.637214285714286,ADAPTIVE_TRAIL_HIT,1,0.5,5.1872,106.41,0.9144
50,DOT,A,SHORT,2025-11-03 11:00:00+00:00,2025-11-03 11:05:00+00:00,2.753,2.7423673525549144,5m,24,0.9332096106790688,0.917759536582827,3,2100.0000000000005,2.7945535714285716,ADAPTIVE_TRAIL_HIT,1,0.08,1.1587,21.81,0.8694
51,PEPE,C,SHORT,2025-11-03 11:00:00+00:00,2025-11-03 11:30:00+00:00,6.12e-06,6.03575013113687e-06,30m,27,0.9306498503856111,0.9228030623621833,3,1575.0000000000005,6.356785714285715e-06,ADAPTIVE_TRAIL_HIT,1,0.5,4.1299,62.21,0.9194
52,SUI,C,SHORT,2025-11-03 11:00:00+00:00,2025-11-03 11:05:00+00:00,2.1785,2.164675454756366,5m,26,0.9373102853470084,0.9064119232441562,3,2100.0000000000005,2.2065196428571427,ADAPTIVE_TRAIL_HIT,1,0.08,1.9038,37.46,0.8599
53,OP,C,SHORT,2025-11-03 11:00:00+00:00,2025-11-03 11:30:00+00:00,0.3801,0.37386054031975496,30m,27,0.9205629594000688,0.9076917429409769,3,2100.0000000000005,0.39760357142857145,ADAPTIVE_TRAIL_HIT,1,0.5,4.9246,100.9,0.9041
