trade_id,asset,group,direction,entry_ts,exit_ts,entry_price,exit_price,best_tf,best_period,confidence,pvt_r,leverage,position_usd,hard_sl,exit_reason,bars_held,duration_hours,pnl_pct,pnl_usd,peak_r
53,ETH,A,LONG,2026-03-16 23:00:00+00:00,2026-03-16 23:30:00+00:00,2350.21,2369.10126329506,30m,68,0.971879911048617,0.9690832926980129,5,3500.0000000000005,2280.0610714285713,ADAPTIVE_TRAIL_HIT,1,0.5,4.0191,136.47,0.971
54,SOL,A,LONG,2026-03-16 23:00:00+00:00,2026-03-16 23:05:00+00:00,95.77,96.83543864251912,5m,86,0.9738106342966418,0.9230845719931272,5,3500.0000000000005,94.39339285714286,ADAPTIVE_TRAIL_HIT,1,0.08,5.5625,190.49,0.9559
55,LINK,A,LONG,2026-03-16 23:00:00+00:00,2026-03-16 23:30:00+00:00,9.918,9.985686359246408,30m,21,0.9613338616481246,0.9703539503546007,5,3500.0000000000005,9.667053571428571,ADAPTIVE_TRAIL_HIT,1,0.5,3.4123,115.23,0.9201
56,ATOM,B,LONG,2026-03-16 23:00:00+00:00,2026-03-17 00:00:00+00:00,1.975,1.9751441904325053,1h,29,0.9488755945835138,0.9240433606289732,3,1800.0,1.9226785714285715,ADAPTIVE_TRAIL_HIT,1,1.0,0.0219,-1.77,0.952
57,BTC,A,LONG,2026-03-17 00:00:00+00:00,2026-03-17 03:00:00+00:00,75283.8,74744.96266390488,1h,58,0.9560949039000121,0.8935963265629047,5,3500.0000000000005,73093.60178571429,ADAPTIVE_TRAIL_HIT,3,3.0,-3.5787,-129.45,0.9565
58,ETH,A,LONG,2026-03-17 00:00:00+00:00,2026-03-17 00:30:00+00:00,2353.0,2375.07508514599,30m,70,0.9726294198054631,0.9687423732612149,5,3500.0000000000005,2282.663035714286,ADAPTIVE_TRAIL_HIT,1,0.5,4.6908,159.98,0.9715
59,SOL,A,LONG,2026-03-17 00:00:00+00:00,2026-03-17 00:30:00+00:00,95.7,96.46531242562924,30m,20,0.9490404064160752,0.9570683018224044,3,2100.0000000000005,92.84232142857142,ADAPTIVE_TRAIL_HIT,1,0.5,2.3991,47.86,0.884
60,DOT,A,LONG,2026-03-17 00:00:00+00:00,2026-03-17 00:30:00+00:00,1.629,1.64483752483346,30m,20,0.9504071565607899,0.9451571281607358,5,3500.0000000000005,1.5660892857142859,ADAPTIVE_TRAIL_HIT,1,0.5,4.8611,165.94,0.9008
61,NEAR,B,LONG,2026-03-17 00:00:00+00:00,2026-03-17 00:30:00+00:00,1.504,1.4984921545553016,30m,31,0.969393601491942,0.9657871249508002,5,3000.0,1.46025,ADAPTIVE_TRAIL_HIT,1,0.5,-1.8311,-58.53,0.9703
62,ETH,A,LONG,2026-03-17 01:00:00+00:00,2026-03-17 01:30:00+00:00,2363.55,2381.131157831062,30m,72,0.97311952583541,0.9680326605410322,5,3500.0000000000005,2287.4744642857145,ADAPTIVE_TRAIL_HIT,1,0.5,3.7192,125.97,0.972
63,SOL,A,LONG,2026-03-17 01:00:00+00:00,2026-03-17 02:00:00+00:00,95.66,95.71342738620797,1h,59,0.943603154901776,0.9124359751159457,3,2100.0000000000005,91.61839285714285,ADAPTIVE_TRAIL_HIT,1,1.0,0.1676,1.0,0.9456
64,DOT,A,LONG,2026-03-17 01:00:00+00:00,2026-03-17 02:00:00+00:00,1.621,1.663187664810499,1h,36,0.9374376149291944,0.9112375850060026,3,2100.0000000000005,1.5274464285714286,ADAPTIVE_TRAIL_HIT,1,1.0,7.8077,161.44,0.9246
65,NEAR,B,LONG,2026-03-17 01:00:00+00:00,2026-03-17 01:30:00+00:00,1.475,1.4985426297515254,30m,33,0.9733711079922454,0.9711406120728163,5,3000.0,1.4273214285714286,ADAPTIVE_TRAIL_HIT,1,0.5,7.9806,235.82,0.9533
66,INJ,B,LONG,2026-03-17 01:00:00+00:00,2026-03-17 01:30:00+00:00,3.307,3.3333488837036085,30m,25,0.9671777420475258,0.9649204090881028,5,3000.0,3.2346785714285713,ADAPTIVE_TRAIL_HIT,1,0.5,3.9838,115.91,0.9403
67,ETH,A,LONG,2026-03-17 02:00:00+00:00,2026-03-17 02:30:00+00:00,2346.8,2384.751833668026,30m,75,0.9736722800632132,0.9671620512178928,5,3500.0000000000005,2271.9316071428575,ADAPTIVE_TRAIL_HIT,1,0.5,8.0859,278.81,0.9712
68,SOL,A,LONG,2026-03-17 02:00:00+00:00,2026-03-17 03:00:00+00:00,95.08,95.74569458399792,1h,60,0.9459499083719641,0.9145516010094569,3,2100.0000000000005,90.87589285714286,ADAPTIVE_TRAIL_HIT,1,1.0,2.1004,41.59,0.9429
69,ICP,B,LONG,2026-03-17 02:00:00+00:00,2026-03-17 02:30:00+00:00,2.78,2.793875079558599,30m,27,0.918762853617274,0.9151674469069219,3,1350.0,2.70375,ADAPTIVE_TRAIL_HIT,1,0.5,1.4973,18.59,0.8969
70,STX,B,LONG,2026-03-17 02:00:00+00:00,2026-03-17 02:30:00+00:00,0.2675,0.26984394858355004,30m,24,0.9679062940856521,0.9590474886057667,5,3000.0,0.2609107142857143,ADAPTIVE_TRAIL_HIT,1,0.5,4.3812,127.84,0.9343
71,SEI,C,LONG,2026-03-17 02:00:00+00:00,2026-03-17 02:30:00+00:00,0.06939,0.06962428149832264,30m,113,0.9679200128551905,0.8610618862631824,5,3500.0000000000005,0.06775107142857141,ADAPTIVE_TRAIL_HIT,1,0.5,1.6882,52.79,0.9676
72,ETH,A,LONG,2026-03-17 03:00:00+00:00,2026-03-17 03:30:00+00:00,2335.71,2385.5204315338274,30m,77,0.972229104503926,0.965380485039588,5,3500.0000000000005,2263.7851785714283,ADAPTIVE_TRAIL_HIT,1,0.5,10.6628,369.0,0.9651
73,INJ,B,LONG,2026-03-17 03:00:00+00:00,2026-03-17 04:00:00+00:00,3.262,3.305937610260112,1h,38,0.9690964132785763,0.9630952399955454,5,3000.0,3.1620000000000004,ADAPTIVE_TRAIL_HIT,1,1.0,6.7348,198.44,0.9444
74,STX,B,LONG,2026-03-17 03:00:00+00:00,2026-03-17 03:30:00+00:00,0.2658,0.26939742019961854,30m,32,0.9560538110605135,0.9622144024230683,5,3000.0,0.25958571428571425,ADAPTIVE_TRAIL_HIT,1,0.5,6.7672,199.41,0.8913
75,OP,C,LONG,2026-03-17 03:00:00+00:00,2026-03-17 03:30:00+00:00,0.1352,0.13666578013336445,30m,76,0.9544919729094022,0.9432193450305985,5,3500.0000000000005,0.13058035714285712,ADAPTIVE_TRAIL_HIT,1,0.5,5.4208,185.53,0.9519
76,TRX,A,LONG,2026-03-17 12:00:00+00:00,2026-03-17 12:05:00+00:00,0.30258,0.30288463643108793,5m,86,0.9611121142541618,0.8787026512066973,5,3500.0000000000005,0.30120107142857144,ADAPTIVE_TRAIL_HIT,1,0.08,0.5034,13.42,0.9624
77,TRX,A,LONG,2026-03-17 13:00:00+00:00,2026-03-17 13:05:00+00:00,0.30223,0.303239262475622,5m,101,0.9576263657616677,0.8792532313064456,5,3500.0000000000005,0.30120160714285715,ADAPTIVE_TRAIL_HIT,1,0.08,1.6697,54.24,0.9552
78,TRX,A,LONG,2026-03-17 14:00:00+00:00,2026-03-17 14:05:00+00:00,0.30242,0.30287420234835266,5m,164,0.9543477559945868,0.9254854548879087,5,3500.0000000000005,0.30137303571428575,ADAPTIVE_TRAIL_HIT,1,0.08,0.7509,22.08,0.9551
79,TRX,A,LONG,2026-03-17 15:00:00+00:00,2026-03-17 15:30:00+00:00,0.30368,0.3043781752581884,30m,27,0.9626315709930078,0.9473770211742529,5,3500.0000000000005,0.29990535714285715,ADAPTIVE_TRAIL_HIT,1,0.5,1.1495,36.03,0.9637
80,TRX,A,LONG,2026-03-17 16:00:00+00:00,2026-03-17 16:30:00+00:00,0.30404,0.30481291112273995,30m,29,0.9676339250450132,0.9514733398862899,5,3500.0000000000005,0.29991946428571425,ADAPTIVE_TRAIL_HIT,1,0.5,1.2711,40.29,0.9647
81,TRX,A,LONG,2026-03-17 17:00:00+00:00,2026-03-17 17:05:00+00:00,0.3039,0.304736217950155,5m,200,0.9705069501687494,0.9451512071298255,5,3500.0000000000005,0.30287160714285716,ADAPTIVE_TRAIL_HIT,1,0.08,1.3758,43.95,0.9705
82,TRX,A,LONG,2026-03-17 18:00:00+00:00,2026-03-17 19:00:00+00:00,0.3045,0.3060952855861374,1h,20,0.9746504383031643,0.9604641670009396,5,3500.0000000000005,0.2997573214285714,ADAPTIVE_TRAIL_HIT,1,1.0,2.6195,87.48,0.9787
83,TRX,A,LONG,2026-03-17 19:00:00+00:00,2026-03-17 20:00:00+00:00,0.30588,0.3065900277895782,1h,20,0.9763070313418624,0.9637016453090566,5,3500.0000000000005,0.30092142857142856,ADAPTIVE_TRAIL_HIT,1,1.0,1.1606,36.42,0.9776
84,TRX,A,LONG,2026-03-17 20:00:00+00:00,2026-03-17 21:00:00+00:00,0.306,0.30698663426355277,1h,21,0.978817557501343,0.9645438699674022,5,3500.0000000000005,0.30080464285714287,ADAPTIVE_TRAIL_HIT,1,1.0,1.6121,52.23,0.9776
85,TRX,A,LONG,2026-03-17 21:00:00+00:00,2026-03-17 22:00:00+00:00,0.30625,0.30727910940720526,1h,22,0.9800251838619045,0.9640080872315319,5,3500.0000000000005,0.3008619642857143,ADAPTIVE_TRAIL_HIT,1,1.0,1.6802,54.61,0.9753
86,TRX,A,LONG,2026-03-17 22:00:00+00:00,2026-03-17 23:00:00+00:00,0.30612,0.30761932173186723,1h,23,0.9805550362280312,0.9625094366611427,5,3500.0000000000005,0.3009176785714286,ADAPTIVE_TRAIL_HIT,1,1.0,2.4489,81.51,0.9747
87,TRX,A,LONG,2026-03-17 23:00:00+00:00,2026-03-18 00:00:00+00:00,0.3067,0.3081609102332479,1h,24,0.9791962893840063,0.9589714912739442,5,3500.0000000000005,0.3013792857142857,ADAPTIVE_TRAIL_HIT,1,1.0,2.3817,79.16,0.9775
88,TRX,A,LONG,2026-03-18 00:00:00+00:00,2026-03-18 01:00:00+00:00,0.30827,0.30873839732394814,1h,26,0.9793405730472579,0.9582809791273322,5,3500.0000000000005,0.30334392857142856,ADAPTIVE_TRAIL_HIT,1,1.0,0.7597,22.39,0.9821
