10:22:18 [INFO] __main__: Loading data for 33 assets...
10:22:19 [INFO] backtest.data_loader: Loaded 132 asset/TF combinations (33 assets), 13351041 total bars (640.8 MB est.)
10:22:19 [INFO] __main__: Pre-computing scan features for all 33 assets (one-time)...
10:22:19 [INFO] neo_flow.precompute_features: Pre-computing features for 28185 1h timestamps across 33 assets...
/home/yagokhan/VaranusNeoFlow/Varanus_Extended_v1/neo_flow/precompute_features.py:229: RuntimeWarning: invalid value encountered in divide
  pr = np.where(d > 1e-15, sum_dyx / d, 0.0)
10:30:43 [INFO] backtest.engine_fast: FastBacktest complete: 0.8s, 4355 scans, 1067 trades
10:30:44 [INFO] backtest.engine_fast: FastBacktest complete: 0.8s, 4323 scans, 1112 trades
10:30:45 [INFO] backtest.engine_fast: FastBacktest complete: 0.8s, 4338 scans, 1167 trades
10:30:46 [INFO] backtest.engine_fast: FastBacktest complete: 0.8s, 4338 scans, 1167 trades
10:30:46 [INFO] backtest.engine_fast: FastBacktest complete: 0.8s, 4338 scans, 1167 trades
10:30:47 [INFO] backtest.engine_fast: FastBacktest complete: 0.8s, 4333 scans, 1158 trades
10:30:48 [INFO] backtest.engine_fast: FastBacktest complete: 0.8s, 4380 scans, 953 trades
10:30:49 [INFO] backtest.engine_fast: FastBacktest complete: 0.8s, 4364 scans, 1094 trades
10:30:50 [INFO] backtest.engine_fast: FastBacktest complete: 0.8s, 4350 scans, 1178 trades
10:30:50 [INFO] backtest.engine_fast: FastBacktest complete: 0.8s, 4350 scans, 1069 trades
10:30:51 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4174 scans, 786 trades
10:30:52 [INFO] backtest.engine_fast: FastBacktest complete: 0.8s, 4296 scans, 932 trades
10:30:53 [INFO] backtest.engine_fast: FastBacktest complete: 0.8s, 4338 scans, 1167 trades
10:30:53 [INFO] backtest.engine_fast: FastBacktest complete: 0.8s, 4338 scans, 1167 trades
10:30:54 [INFO] backtest.engine_fast: FastBacktest complete: 0.8s, 4333 scans, 1158 trades
10:30:55 [INFO] backtest.engine_fast: FastBacktest complete: 0.8s, 4333 scans, 1158 trades
10:30:56 [INFO] backtest.engine_fast: FastBacktest complete: 0.8s, 4338 scans, 1145 trades
10:30:56 [INFO] backtest.engine_fast: FastBacktest complete: 0.8s, 4342 scans, 1167 trades
10:30:57 [INFO] backtest.engine_fast: FastBacktest complete: 0.8s, 4368 scans, 1096 trades
10:30:58 [INFO] backtest.engine_fast: FastBacktest complete: 0.8s, 4342 scans, 1167 trades
10:30:59 [INFO] backtest.engine_fast: FastBacktest complete: 0.8s, 4335 scans, 1143 trades
10:30:59 [INFO] backtest.engine_fast: FastBacktest complete: 0.8s, 4359 scans, 1069 trades
10:31:00 [INFO] backtest.engine_fast: FastBacktest complete: 0.8s, 4342 scans, 1167 trades
10:31:01 [INFO] backtest.engine_fast: FastBacktest complete: 0.8s, 4342 scans, 1167 trades
10:31:02 [INFO] backtest.engine_fast: FastBacktest complete: 0.8s, 4337 scans, 1158 trades
10:31:03 [INFO] backtest.engine_fast: FastBacktest complete: 0.8s, 4342 scans, 1167 trades
10:31:03 [INFO] backtest.engine_fast: FastBacktest complete: 0.8s, 4343 scans, 1158 trades
10:31:04 [INFO] backtest.engine_fast: FastBacktest complete: 0.8s, 4335 scans, 1143 trades
10:31:05 [INFO] backtest.engine_fast: FastBacktest complete: 0.8s, 4365 scans, 1101 trades
10:31:06 [INFO] backtest.engine_fast: FastBacktest complete: 0.8s, 4355 scans, 873 trades
10:31:06 [INFO] backtest.engine_fast: FastBacktest complete: 0.8s, 4379 scans, 943 trades
10:31:06 [INFO] __main__:   Group A complete: 1.3 min, best score=13.2091
10:31:06 [INFO] __main__:   Best params: {'min_confidence': 0.75, 'min_xgb_score': 0.45, 'trail_buffer': 0.3, 'min_pvt_r': 0.65, 'combined_gate': 0.8, 'hard_sl_mult': 3.25, 'exhaust_r': 0.45, 'pos_frac': 0.07}
10:31:06 [INFO] __main__: === Group B [Tech & AI]: 11 assets, 100 trials ===
